damping sphere,dominaria,nm,.5,8
citywide bust,guilds,nm,1,8
swiftblade vindicator,guilds,nm,1.5,4
island,unstable,nm,3.5,5
swamp,unstable,nm,3.5,5
mountain,unstable,nm,3.5,5
plains,unstable,nm,3.5,5
forest,unstable,nm,3.8,7
snapcaster mage,2017,nm f,95,2
ugin the spirit dragon,reforged,nm,20,1
voice of resurgence,maze,nm,11,4
kitchen finks,ultimate,nm,2.25,4
fatal push,aether,nm,2.9,8
teferi timebender,dominaria,nm,1,7
chandra bold pyromancer,dominaria,nm,1,3
sword of light and shadow,modern,nm,22.5,1
chandra torch of defiance,kaladesh,nm,10,3
hazoret the fervent,amonkhet,nm,3.5,4
alpine moon,2019,nm f,3.5,4
stifle,scourge,nm,6.5,4
supreme phantom,2019,nm,3,4
doubling season,battlebond,nm f,50,1
ulamog the infinite gyre,ultimate,nm,10,1
celestial colonnade,ultimate,nm,10,1
lavaclaw reaches,ultimate,nm,5,1
dark depths,ultimate,nm,10,1
emrakul the aeons torn,ultimate,nm,22,1
nicol bolas planeswalker,guilds,nm,38,1
tarmogoyf,ultimate,nm,30,1
noble hierarch,ultimate,nm,20,1
protean hulk,masters,nm,1,2
summoner's pact,masters,nm,1,1
bramble sovereign,battlebond,nm,4,1
verdurous gearhulk,kaladesh,nm,1,6
warden of the first tree,fate,nm,1,1
deathmist raptor,dragons,nm,1,1
tree of redemption,25,nm,1,1
ulvenwald hydra,shadows,nm,1,1
woodland bellower,origins,nm,1,1
aetherwind basker,aether,nm,1,1
multani yavimaya's avatar,dominaria,nm,1,1
primeval titan,iconic,nm,1,1
nullhide ferox,ravnica,nm,1,1
essence of the wild,innistrad,nm,1,1 
liliana of the veil,innistrad,nm,69,1
liliana of the veil,innistrad,lp,65,2
scavenging ooze,2014,nm,2.5,2
scavenging ooze,masters,nm,4,2
tarmogoyf,future,lp,67.5,4
grim flayer,eldritch,nm,11,4
bloodbraid elf,eternal,nm,1.6,2
bloodbraid elf,alara,nm,1,2
assassin's trophy,ravnica,nm,8,4
abrupt decay,return,nm,6,3
raging ravine,worldwake,nm,6,4
slippery bogle,eventide,nm,1,4
kor spiritdancer,eldrazi,nm,12,2
kor spiritdancer,battlebond,nm,1.75,8
rancor,eternal,nm,1.75,4
spirit mantle,2012,lp,1.75,4
daybreak coronet,masters,nm,11,3
bear umbra,commander,nm,3,2
temple garden,return,nm,8.25,4
sunpetal grove,ixalan,nm,2,2
sunpetal grove,2013,nm,2.8,3
street wraith,masters,nm,1,2
entomb,ultimate,nm,10,1
demonic tutor,ultimate,nm,10,1
erebos god of the dead,theros,nm,1,2
tree of perdition,moon,nm,1,1
risen executioner,dragons,nm,1,1
erebos's titan,origins,nm f,1,1
hythonia the cruel,theros,nm,1,2
